帮我确认	bang wo que ren	1600	project_v2_colloquial
哔哩哔哩	bi li bi li	1600	project_v2_proper
别太离谱	bie tai li pu	1600	project_v2_colloquial
超节点	chao jie dian	500	project_v2_hot
成渝地区	cheng yu di qu	1600	project_v2_proper
到家说一声	dao jia shuo yi sheng	1600	project_v2_colloquial
邓稼先	deng jia xian	1600	project_v2_proper
低空经济	di kong jing ji	500	project_v2_hot
端云协同	duan yun xie tong	500	project_v2_hot
蹲个后续	dun ge hou xu	600	project_v2_colloquial
发我一份	fa wo yi fen	1600	project_v2_colloquial
樊振东	fan zhen dong	1600	project_v2_proper
国家电网	guo jia dian wang	1600	project_v2_proper
海南自贸港	hai nan zi mao gang	1600	project_v2_proper
河套深港	he tao shen gang	600	project_v2_proper
狠狠期待	hen hen qi dai	600	project_v2_colloquial
横琴粤澳	heng qin yue ao	600	project_v2_proper
鸿蒙空间计算	hong meng kong jian ji suan	500	project_v2_hot
鸿蒙智行	hong meng zhi xing	1600	project_v2_proper
华为云	hua wei yun	1600	project_v2_proper
回头细说	hui tou xi shuo	1600	project_v2_colloquial
记得吃饭	ji de chi fan	1600	project_v2_colloquial
技能化	ji neng hua	500	project_v2_hot
即时零售	ji shi ling shou	500	project_v2_hot
今天辛苦了	jin tian xin ku le	4000	project_v2_colloquial
雷军	lei jun	1600	project_v2_proper
临港新片区	lin gang xin pian qu	600	project_v2_proper
灵衢	ling qu	500	project_v2_hot
路上小心	lu shang xiao xin	4000	project_v2_colloquial
蚂蚁集团	ma yi ji tuan	1600	project_v2_proper
美团	mei tuan	1600	project_v2_proper
明天再聊	ming tian zai liao	4000	project_v2_colloquial
拼多多	pin duo duo	1600	project_v2_proper
前海深港	qian hai shen gang	600	project_v2_proper
情绪价值	qing xu jia zhi	500	project_v2_hot
情绪拉满	qing xu la man	600	project_v2_colloquial
全红婵	quan hong chan	1600	project_v2_proper
人工智能赋能	ren gong zhi neng fu neng	500	project_v2_hot
稍等一下	shao deng yi xia	4000	project_v2_colloquial
收到请回复	shou dao qing hui fu	4000	project_v2_colloquial
首发经济	shou fa jing ji	500	project_v2_hot
苏炳添	su bing tian	1600	project_v2_proper
太有感觉了	tai you gan jue le	1600	project_v2_colloquial
天府新区	tian fu xin qu	1600	project_v2_proper
屠呦呦	tu you you	1600	project_v2_proper
晚点联系	wan dian lian xi	4000	project_v2_colloquial
稳稳拿下	wen wen na xia	600	project_v2_colloquial
我马上到	wo ma shang dao	4000	project_v2_colloquial
先码住	xian ma zhu	600	project_v2_colloquial
小红书	xiao hong shu	1600	project_v2_proper
小米汽车	xiao mi qi che	1600	project_v2_proper
雄安新区	xiong an xin qu	1600	project_v2_proper
以旧换新	yi jiu huan xin	500	project_v2_hot
有空聊聊	you kong liao liao	1600	project_v2_colloquial
有事留言	you shi liu yan	1600	project_v2_colloquial
余承东	yu cheng dong	1600	project_v2_proper
粤港澳大湾区	yue gang ao da wan qu	1600	project_v2_proper
在线等	zai xian deng	600	project_v2_colloquial
张江科学城	zhang jiang ke xue cheng	600	project_v2_proper
这波可以	zhe bo ke yi	1600	project_v2_colloquial
郑钦文	zheng qin wen	1600	project_v2_proper
智能体框架	zhi neng ti kuang jia	500	project_v2_hot
中国商飞	zhong guo shang fei	1600	project_v2_proper
周末见面	zhou mo jian mian	1600	project_v2_colloquial
字节跳动	zi jie tiao dong	1600	project_v2_proper
